DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,F_4_ON_STREAM_HRS,F_4_BORE_WI_VOL,F_5_ON_STREAM_HRS,F_5_BORE_WI_VOL
2010-01-12,24.0,3429.502452162206,223.0775285,46.005409375,781.4056224323737,187.143128375,308.02741022102697,17056.834181292,13397538.061571458,11327.697298176,24.0,45796.401879719495,24.0,49784.30092446541
2010-01-13,24.0,3428.3620657526053,223.093064,46.342773125,777.3142256865558,182.527607,303.43213122206026,17067.149470676,13395400.11164814,12636.166597294,24.0,50456.96514757576,24.0,49255.66545989974
2010-01-14,24.0,3425.496159330779,223.114651625,46.98714666666667,771.4936527688674,183.315984875,296.9267475163072,17046.896280544,13392731.029137328,16311.869013828,24.0,50895.95344990379,24.0,49218.36673365874
2010-01-15,24.0,3409.6053684909484,223.158455375,49.223101666666665,750.5263809532009,186.1709735,274.0028773339667,17377.17423515,13651591.067672512,16331.430324794,24.0,51814.18478998478,24.0,48913.17281104249
2010-01-16,24.0,3413.7126770852724,223.175573375,49.22628708333333,750.953734648218,183.563437625,274.3482816853941,17198.54361411,13475600.072919307,17537.501507343997,24.0,50971.8586483567,24.0,49004.87902795455
2010-01-17,24.0,3417.2197228279274,223.190576,49.30578979166667,750.816468515679,185.2928975,274.2132696810334,16954.247370406003,13301355.03528881,17558.0062899,24.0,50604.65544335935,24.0,49927.23517996381
2010-01-18,24.0,3423.476922791006,223.210164125,49.259787083333336,752.1330153445591,187.861177625,275.33616393510755,17868.156850586,13993859.40495051,15938.128467976,24.0,44673.68863585612,24.0,56506.41651778005
2010-01-19,24.0,3429.6834955186646,223.228553,49.21074375,753.2607049088459,190.085538875,276.5122084769196,17695.627345828,13870134.116945108,15580.049550518,24.0,43292.7663598,24.0,57646.114149
2010-01-20,24.0,3434.7053123753717,223.2405395,49.24111375,754.3656265698862,186.93833675,277.5277415670588,17546.118547866,13743794.131015643,16326.335578208,24.0,44456.3813208,24.0,56608.2954
2010-01-21,24.0,3439.727129232079,223.252526,49.08621291666667,757.9242181203025,184.70530175,281.17825682717165,17350.505438206,13666046.067054952,16348.601507732,24.0,45614.31687373194,24.0,55027.03494083288
2010-01-22,24.0,3442.5191842506874,223.26615875,49.16169666666666,756.961493874893,184.442786,280.0628501463217,17276.474367444,13640068.951361291,16325.51790283,24.0,43656.04265389733,24.0,56102.84017279319
2010-01-23,24.0,3669.1114640525343,223.068372875,34.02368875,960.5985692997524,179.67437675,486.0446298166455,12174.431601148,9974830.674818102,11236.935331218,24.0,42414.57501969967,24.0,56876.19741426787
2010-01-24,24.0,3539.395836008145,223.122768875,43.628586875,842.4839871778026,184.452384875,368.2340498151633,15805.66505674,12748060.022403218,14600.85183631,24.0,43773.16379138953,24.0,56984.50009577812
2010-01-25,24.0,3486.155649045625,223.259709125,46.5828,788.1346815246986,191.30923550000003,313.78744801281755,16916.068220064,13275098.933728052,16174.625346536,24.0,44752.574043539214,24.0,55700.17789322139
