DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,F_4_ON_STREAM_HRS,F_4_BORE_WI_VOL,F_5_ON_STREAM_HRS,F_5_BORE_WI_VOL
2011-09-24,24.0,3541.6629783015946,217.831756625,3006.0245552934866,0.0,100.0,535.6384230081078,193.98176,106.97853323077753,11348.202080732,10001173.650458997,28464.474972194,24.0,38606.8574628,24.0,36643.607375110114
2011-09-25,24.0,3542.645883943923,217.82206287500003,3007.5245960122734,0.0,100.0,535.1212879316492,193.83634175,107.15432199085308,11347.573099672,9999802.3819502,28526.052217967997,24.0,38525.089925,24.0,37199.78131169654
2011-09-26,24.0,3542.3622445175465,217.814574125,3007.8416454859216,0.0,100.0,534.5205990316246,193.96769675000002,107.43727550959336,11343.358926570001,9985772.924301755,28592.346821691997,24.0,38550.2491674,24.0,37502.12256671704
2011-09-27,24.0,3543.0563890883755,217.804995125,3009.37365493946,0.0,100.0,533.6827341489158,194.16956562500002,106.84686615924942,11307.758598574,9957301.886844223,28622.349218254,24.0,38550.2491674,24.0,37638.2266304
2011-09-28,24.0,3544.0372853537087,217.794930875,3010.5977764697996,0.0,100.0,533.4395088839093,193.59088625,106.63292340922125,10599.966211756,9345107.660213862,26402.989548044,24.0,38340.79847442,24.0,37927.557918
2011-09-29,24.0,3545.007454741089,217.7837764680851,3024.0315281858857,0.0,98.090223125,520.9759265552036,190.35990519148936,94.27422863097205,10693.62149159,9433791.263871532,27033.668856906002,24.0,38207.4544897,24.0,38109.9624254
2011-09-30,24.0,3544.465744961478,217.76790725,3012.475773447336,0.0,100.0,531.989971514142,193.86796925,105.38485856563354,10555.182760284,9322225.87505834,26753.080406039997,19.0,31700.645424,18.83333,31601.26641652
2011-10-01,24.0,3542.208619336809,217.746357875,3010.408414594742,0.0,100.0,531.8002047420666,195.52424000000002,105.27967598938812,10517.884183426,9284466.727106392,26600.300906565997,24.0,38686.10907636,24.0,39137.71747744
2011-10-02,24.0,3544.391990250085,217.732997,3011.8426655912485,0.0,100.0,532.5493246588367,196.178747375,105.77800450581933,10450.5203119,9255767.910048507,26491.361386974,24.0,37963.40983842,24.0,41079.48368444835
2011-10-03,24.0,3546.487157067321,217.721051,3014.884037459859,0.0,100.0,531.6031196074615,194.06504937500003,104.75804474305157,10421.964571776,9229643.532194618,26562.687839178,24.0,37633.19478192,24.0,41973.16409592
2011-10-04,24.0,3548.2455976244523,217.708082,3016.902932556624,0.0,100.0,531.3426650678284,192.40794837500002,104.40085305379209,10379.75994265,9198797.230253398,26603.382913760004,24.0,37703.53888757336,24.0,40196.95490799317
2011-10-05,24.0,3549.208566621044,217.691577125,3018.12773697298,0.0,100.0,531.0808296480648,193.42192175,104.34546072435424,10357.305318808001,9183214.280415876,26654.707768256,24.0,36984.52123695394,24.0,40893.07030860584
2011-10-06,24.0,3550.0739614793974,217.675679,3018.9020028075756,0.0,100.0,531.1719586718219,194.973382625,104.81990938154766,10341.769486626,9170557.857009562,26638.228464484004,24.0,37296.08894831434,24.0,40471.105220111065
2011-10-07,12.99166,3578.8925321753363,217.65822691635557,3020.5213562169943,0.0,50.679230833333335,558.3711759583421,194.54178210036594,134.5484452590927,7093.145209832001,5376387.851146219,15503.75414794,12.8,19039.905286227564,12.3,19486.926574300185
2011-10-08,13.50834,3666.9210711570477,217.3032011260066,3041.4454963015382,0.0,42.918163541666665,625.4755748555098,179.95053288538637,153.7009987730789,4277.197004212,3948247.8967691967,14721.679097936,10.675,19144.165640123676,10.675,14835.411419135391
2011-10-09,24.0,3570.925604980063,217.5710825,3015.677780654021,0.0,91.93674041666667,555.2478243260424,193.762260125,96.34435419413937,9438.301092042,8424491.73233138,26160.831839944,24.0,37698.23224250976,24.0,38704.843033501944
2011-10-10,24.0,3581.3253425997023,217.54780775,3018.1287038912333,0.0,87.723018125,563.1966387084692,195.28706937500002,95.62525708913537,9311.246917921999,8318124.6624595905,24805.314757538,24.0,35850.69193612568,24.0,40824.685022943115
2011-10-11,24.0,3550.323810134439,217.58281812500002,3020.6219872128,0.0,99.96815083333334,529.7018229216391,195.5291105,103.97903194415586,9673.7287028,8606921.297121247,25438.006805792,24.0,34672.03685471046,24.0,41665.55590812757
