DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
24-Jan-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.369,101.221,209.143,22.471,77.17637,%,33.227,88.201,4.271,961,"150,485","3,131",,production,OP
25-Jan-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.343,101.213,209.266,22.117,77.23511,%,33.077,86.011,4.122,960,"150,245","3,087",,production,OP
26-Jan-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.399,101.206,209.277,22.178,77.21861,%,33.123,86.964,4.15,956,"149,822","3,514",,production,OP
27-Jan-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.462,101.199,209.35,22.132,77.11667,%,33.112,86.238,4.127,955,"148,848","3,078",,production,OP
28-Jan-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.522,101.192,209.411,22.118,77.04036,%,33.111,85.86,4.126,956,"149,035","3,069",,production,OP
29-Jan-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.317,101.189,209.37,22.197,80.31867,%,32.947,87.213,3.957,957,"150,964","3,070",,production,OP
30-Jan-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.05,101.186,209.348,21.987,85.40972,%,32.702,85.472,3.696,965,"152,504","3,126",,production,OP
31-Jan-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.014,101.181,209.326,22.337,87.36336,%,32.688,88.48,3.697,973,"150,630","3,134",,production,OP
01-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.871,101.178,209.259,22.356,89.36781,%,32.611,88.495,3.621,972,"152,750","3,129",,production,OP
02-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.816,101.173,209.279,22.141,89.98196,%,32.537,88.111,3.565,961,"151,088","3,166",,production,OP
